Dataset,Round,Optimizer,Epochs,Lr_rate,Hidden_Nodes,Bitwise_test_acc,Mean_byte_error
dataset-5,1,RMSprop,20,0.0018,25,67.41341098070889,0.34155593922019123
dataset-5,2,RMSprop,10,0.0011,25,67.78458862469198,0.346519143543454
dataset-5,3,RMSprop,20,0.001,25,66.36253021788579,0.34909665348680163
dataset-5,4,Adam,20,0.0014,25,64.29261943963395,0.3626690194615081
dataset-5,5,Adam,20,0.003118621158553604,15,63.98601757169622,0.36030429988699914
dataset-5,6,RMSprop,40,0.001068582060667167,10,64.16170443214953,0.3675911293183907
dataset-5,7,Adam,60,0.003042981563947426,15,63.711706438236924,0.372569857495996
dataset-5,8,Adam,60,0.004548594213364623,25,63.706876917363005,0.3711999153038429
dataset-5,9,Adam,30,0.0024665396749195302,15,63.51488216837643,0.3691219858166681
dataset-5,10,RMSprop,10,0.0007144658896954177,20,63.43679423094538,0.37570233171377454
dataset-5,11,RMSprop,60,0.003556196839494542,20,63.28081795129059,0.3732811113313554
dataset-5,12,Adam,40,0.0016014058789153582,10,62.88295705870836,0.3729497958812886
dataset-5,13,Adam,20,0.0020867571424892715,15,62.85342685887261,0.37067772535191285
dataset-5,14,Adam,40,0.0007483240974167166,15,62.60614353460244,0.3792173402701206
dataset-5,15,Adam,30,0.002252498162948801,15,62.43787991564981,0.3761139459212406
dataset-5,16,RMSprop,10,0.0007504724764714069,25,62.508120824962184,0.37731572483068065
dataset-5,17,RMSprop,20,0.0021960003928223277,15,62.27965700329251,0.3962149524811014
dataset-5,18,RMSprop,40,0.000501605613868992,10,62.169579022112316,0.3802805319203236
dataset-5,19,RMSprop,30,0.0035218260029741704,10,61.970352048744665,0.3844835229598953
dataset-5,20,RMSprop,20,0.0017,25,61.80529281417274,0.397311133312175
dataset-5,21,Adam,20,0.002240697325971392,25,61.76708671778593,0.382881855492221
dataset-5,22,RMSprop,30,0.0033179192461026586,15,61.97818988536517,0.385952389718968
dataset-5,23,RMSprop,50,0.0009505922132681294,20,61.74211924533646,0.3913779892590132
dataset-5,24,RMSprop,50,0.0026038745852512775,10,61.90868022324873,0.3964793725497875
dataset-5,25,RMSprop,60,0.0021081150763155028,20,61.84841999332781,0.3846656762000662
